ID,Gender,Type,WFH,Designation,Resource,Fatigue,Burn,Days
fffe31003100320034003200,Male,Service,No,4,7,NA,0.79,205
fffe32003500330030003600,Male,Service,No,2,5,6.8,0.6,347
fffe32003800370038003100,Male,Product,Yes,2,4,5.5,0.48,109
fffe33003400390038003700,Female,Service,Yes,2,3,4.5,0.21,64
fffe31003600370032003800,Female,Product,No,2,2,2.6,0.15,162
fffe32003400350038003000,Male,Service,No,5,10,10,0.98,78
fffe31003100350037003800,Female,Service,Yes,1,2,4.3,0.25,53
fffe32003700310038003500,Male,Product,No,3,8,8.8,0.7,319
fffe32003400390031003600,Female,Service,No,4,7,7.2,0.69,173
fffe3500350032003300,Male,Service,Yes,1,3,4.4,0.33,120
fffe3300360036003400,Female,Service,No,2,4,5.5,0.44,27
fffe33003200380032003700,Female,Product,No,2,5,7.8,0.57,5
fffe33003300320037003500,Male,Product,Yes,1,3,4.5,0.27,237
fffe32003200330034003200,Male,Service,No,4,6,6.7,0.67,141
fffe31003000340033003200,Female,Service,No,1,1,3.4,0.25,340
fffe390035003100,Female,Service,No,0,1,3.6,0.18,129
fffe3500300035003400,Female,Product,No,3,7,7.9,0.6,332
fffe32003500370035003000,Female,Service,Yes,2,5,5.3,0.39,92
fffe31003700340033003400,Female,Service,Yes,1,3,5.3,0.34,101
fffe33003400340030003900,Female,Product,No,3,6,5.5,0.52,51
fffe33003100320037003700,Female,Product,No,1,3,5.4,0.42,247
fffe3900300039003300,Male,Product,Yes,1,1,4.8,0.28,6
fffe31003600330039003300,Female,Product,Yes,2,4,6.2,0.38,357
fffe3500370038003800,Male,Product,No,4,6,6.9,0.59,227
fffe3200340033003500,Female,Product,Yes,2,5,8,0.62,343
fffe31003700370036003700,Male,Product,No,3,7,8.7,0.76,108
fffe3200350035003100,Female,Service,No,1,3,4.2,0.33,144
fffe33003100310030003900,Male,Service,No,2,2,4.2,0.28,23
fffe33003000370038003600,Female,Service,No,3,6,7.2,0.62,341
fffe31003900330039003900,Female,Service,Yes,2,4,5.2,0.45,84
fffe31003500380036003900,Male,Service,Yes,2,2,3.3,0.24,108
fffe33003100350036003000,Male,Service,No,2,5,6.3,0.53,95
fffe340039003600,Male,Service,Yes,2,4,6.8,0.59,242
fffe3700300032003000,Male,Product,Yes,3,6,NA,0.65,224
fffe31003500390034003500,Male,Product,Yes,3,5,3.8,0.29,331
fffe3200370032003800,Female,Product,Yes,1,2,2.7,0.19,233
fffe3200370037003600,Female,Service,No,4,7,8.1,0.65,314
fffe32003900350036003500,Female,Product,Yes,1,1,1.3,0.02,22
fffe33003000380035003300,Female,Service,Yes,2,4,7,0.47,76
fffe31003800320039003800,Male,Service,No,4,7,NA,0.82,229
fffe31003300310039003200,Female,Service,No,2,5,6.6,0.43,66
fffe32003800340031003500,Female,Service,No,2,5,7.9,0.61,100
fffe31003400320038003900,Female,Product,No,0,2,4.7,0.33,147
fffe32003700300037003600,Female,Service,No,2,4,7.9,0.6,242
fffe32003600380034003200,Female,Product,No,2,6,6.4,0.52,303
fffe31003800360034003800,Male,Service,Yes,5,9,9.3,0.93,245
fffe31003500340036003400,Male,Product,No,2,4,6.3,0.47,11
fffe3100350036003700,Male,Service,No,2,NA,6.4,0.53,121
fffe31003900380039003900,Male,Service,No,3,7,6.9,0.51,304
fffe31003300390037003400,Female,Service,Yes,1,1,4.9,0.26,327
fffe32003500380038003000,Female,Product,Yes,3,4,5.2,0.42,262
fffe33003100340038003200,Female,Service,No,2,5,6.2,0.58,41
fffe32003600340033003900,Female,Service,Yes,1,2,5.3,0.3,42
fffe32003500350030003000,Male,Product,Yes,3,6,6.2,0.56,141
fffe31003700300039003800,Male,Product,No,2,5,6.1,0.57,263
fffe32003400350032003300,Female,Service,Yes,2,3,5.5,0.3,43
fffe32003500350031003700,Male,Service,No,4,8,9.5,0.86,254
fffe3700330033003700,Male,Product,No,2,6,6.3,0.62,142
fffe32003300360036003800,Male,Service,Yes,3,5,5.2,0.41,310
fffe31003100380035003700,Male,Service,Yes,1,4,5.1,0.38,192
fffe32003700330031003200,Female,Service,Yes,2,5,5.9,0.41,320
fffe32003300390039003100,Female,Service,No,2,5,5.8,0.46,162
fffe32003000340034003200,Female,Service,No,2,4,5.9,0.44,222
fffe32003400310034003700,Female,Product,No,1,1,3.2,0.24,138
fffe32003100320031003200,Female,Service,Yes,2,4,6.1,0.39,311
fffe3800360038003500,Female,Service,No,2,4,7.5,0.53,321
fffe3400380036003000,Female,Service,No,2,NA,6,0.53,43
fffe3900390035003300,Female,Service,No,2,2,3.9,0.21,311
fffe31003300360033003500,Male,Service,No,4,8,8.4,0.77,79
fffe31003000350034003500,Female,Product,Yes,1,2,6,0.37,9
fffe3900360034003800,Male,Service,No,3,8,NA,0.93,89
fffe31003200360030003700,Female,Service,Yes,4,7,NA,0.67,114
fffe3600350037003000,Male,Service,Yes,1,3,4.9,0.38,292
fffe31003700330038003800,Male,Product,Yes,3,4,6.3,0.47,207
fffe31003500390038003400,Male,Service,No,4,8,8,0.69,122
fffe3300360037003100,Male,Service,No,2,7,7.1,0.72,45
fffe32003500350032003000,Male,Service,No,4,8,7.3,0.73,188
fffe33003300350035003900,Female,Product,No,4,8,8.2,0.72,234
fffe31003700330038003900,Female,Product,No,2,6,7.1,0.58,119
fffe32003500310036003900,Female,Service,Yes,2,5,4.5,0.38,300
fffe33003200390034003100,Female,Service,Yes,1,4,5,0.36,283
fffe32003000360039003500,Male,Service,No,2,5,4.2,0.32,58
fffe3200370034003700,Male,Product,Yes,1,3,4.8,0.35,308
fffe32003600310032003100,Female,Service,Yes,4,8,9.4,0.83,98
fffe31003800310037003600,Male,Service,Yes,4,7,7.9,0.73,92
fffe3300310034003800,Male,Product,Yes,0,2,2.1,0.15,312
fffe31003500390033003400,Male,Service,Yes,2,5,4.2,0.3,66
fffe3700370039003400,Male,Service,No,1,3,6.6,0.47,274
fffe31003200350033003500,Female,Product,No,4,6,7.1,0.68,197
fffe3600330034003100,Male,Product,No,5,10,9.7,0.87,143
fffe3800350034003900,Female,Product,Yes,1,2,5.5,0.4,220
fffe31003800360032003600,Female,Service,No,1,3,5.2,0.43,223
fffe31003400390031003500,Male,Product,No,4,7,8.4,0.64,353
fffe32003600360038003900,Male,Product,No,2,3,3.4,0.26,147
fffe3500340031003000,Male,Service,No,2,4,7.2,0.59,316
fffe32003700350037003900,Male,Service,No,2,6,7,0.52,109
fffe3500340033003400,Female,Service,No,2,5,7.3,0.56,96
fffe3100350038003300,Male,Service,No,3,6,6.5,0.56,208
fffe3200320039003200,Female,Service,Yes,0,1,NA,0.25,43
fffe3100390036003900,Male,Service,No,1,4,5.8,0.53,15
fffe32003900340036003400,Male,Service,No,2,4,6.2,0.4,350
fffe3200380030003000,Female,Service,No,2,4,4.2,0.31,264
fffe3100380034003500,Male,Product,No,3,NA,8.9,0.83,284
fffe33003200310037003800,Male,Service,No,1,5,6.6,0.54,311
fffe31003700310036003200,Female,Service,Yes,2,NA,5.5,0.36,255
fffe33003100370039003200,Male,Product,No,2,6,7.5,0.55,333
fffe32003600320034003600,Male,Service,Yes,1,2,3.8,0.22,178
fffe32003000300034003100,Male,Service,Yes,4,NA,6.9,0.69,91
fffe31003700370038003300,Female,Product,Yes,3,5,5,0.4,346
fffe3700360038003900,Male,Service,Yes,3,6,7.9,0.64,120
fffe33003400330038003800,Male,Service,Yes,3,5,6.5,0.48,37
fffe31003900350036003300,Female,Service,Yes,1,3,5.2,0.39,85
fffe33003400330036003300,Female,Service,Yes,3,5,5.6,0.4,179
fffe31003100360033003300,Female,Product,Yes,2,4,6.2,0.49,271
fffe31003000340030003900,Male,Service,Yes,2,4,NA,0.16,174
fffe3400300032003700,Female,Service,No,2,2,3.9,0.29,200
fffe3800390038003100,Male,Service,Yes,2,5,6.1,0.41,211
fffe32003700320030003400,Male,Service,Yes,2,5,5.5,0.37,49
fffe3300380031003800,Male,Product,No,3,6,8.6,0.68,127
fffe32003600360038003300,Female,Service,Yes,2,5,7.1,0.58,246
fffe31003600320037003300,Female,Service,No,2,6,6.9,0.55,228
fffe32003700330034003900,Female,Product,Yes,2,3,6.9,0.5,147
fffe31003200310032003900,Male,Product,No,2,NA,6.3,0.57,242
fffe32003500340038003800,Male,Product,Yes,2,3,6.3,0.44,1
fffe32003800370032003300,Male,Service,Yes,2,3,5.7,0.37,195
fffe3100380031003800,Female,Service,No,2,6,NA,0.61,304
fffe32003800360035003900,Male,Service,No,3,7,6.3,0.62,336
fffe33003400370039003500,Male,Product,No,2,4,6.7,0.57,232
fffe31003100310039003000,Female,Service,Yes,1,NA,1.9,0.03,316
fffe32003500390035003800,Male,Service,Yes,3,5,4.9,0.37,88
fffe33003000350037003300,Male,Service,Yes,1,4,5.4,0.35,324
fffe3500380033003400,Male,Service,No,4,6,7,0.55,9
fffe32003100300032003900,Female,Service,Yes,2,NA,NA,0.18,276
fffe33003300360038003400,Female,Service,Yes,2,4,6.5,0.61,198
fffe3600300031003100,Male,Product,Yes,2,3,4,0.2,294
fffe3200390033003200,Female,Product,Yes,0,1,4,0.2,248
fffe31003000300038003500,Female,Product,No,3,7,NA,0.64,111
fffe31003800310031003800,Female,Service,No,1,2,NA,0.43,292
fffe32003300320031003800,Female,Service,Yes,1,3,3.7,0.17,101
fffe3100360039003600,Male,Service,No,2,4,5.2,0.47,16
fffe31003100360030003000,Male,Service,No,0,1,2.8,0.12,112
fffe32003000300032003600,Female,Service,No,5,10,NA,1,116
fffe31003300320037003300,Female,Product,No,3,6,8.2,0.65,256
fffe31003300340033003900,Female,Service,Yes,3,4,5.5,0.42,81
fffe3900300030003000,Female,Service,No,1,1,3.6,0.28,169
fffe31003500370039003900,Male,Product,Yes,2,5,6.9,0.67,176
fffe31003200390033003300,Female,Product,No,5,9,9.4,0.88,194
fffe33003400370035003500,Male,Service,Yes,1,3,3.6,0.29,354
fffe33003100310033003900,Male,Service,No,2,5,6.8,0.6,37
fffe31003400380030003200,Male,Service,Yes,0,1,3.8,0.17,223
fffe31003500350037003400,Female,Product,Yes,1,2,1.6,0.08,321
fffe31003200330039003800,Male,Service,No,2,4,5.4,0.48,29
fffe31003500380030003300,Female,Service,No,2,4,7.3,0.51,7
fffe33003400310032003100,Female,Service,Yes,0,2,4,0.3,296
